"Organização";"Nome";"Descrição";"Tags";"Quantidade Recursos";"Quantidade Reusos";"Quantidade Downloads"
"MPA - Ministério da Pesca e Aquicultura";"Base de Dados da Sardinha-verdadeira";"Os registros desta base são coletados através do sistema LECOM, plataforma que monitora e gerência informações advindas de empresas pesqueiras.

Esta base contém dados de comercialização de sardinha-verdadeira em empresas pesqueiras, incluindo metadados código, data do relatório, espécie, captura (kg) e valor R$/kg.";"Indústria de Pesca,Pesca,Pesca Industrial";"2";"0";"270"
"MPA - Ministério da Pesca e Aquicultura";"Base de Dados das Embarcações Pesqueiras com Certificações Higiênico-Sanitárias";"Relação de embarcações certificadas, em atendimento a critérios e requisitos higiênico-sanitários que fornecem pescado para o processamento industrial de produtos da pesca destinados ao mercado nacional e internacional, e/ou mercados específicos (União Europeia e Reino Unido), estabelecidos, respectivamente, pela Portaria SAP-MAPA nº 310, de 24 de dezembro de 2020 e alteração e Portaria MPA nº 75, de 26 de maio de 2023 e alteração.";"Certificado,Embarcação primária de Pesca,Higiênico-Sanitárias,Pesca";"3";"0";"340"
"MPA - Ministério da Pesca e Aquicultura";"Base de dados Mapas de Bordo";"Contém dados de mapas de bordo da Instrução Normativa MPA/MMA n°10, de 10 de junho de 2011, incluindo metadados como id do mapa de bordo, porto de saída/ chegada, data de saída/chegada, nome da embarcação, RGP, código INI, UF, comprimento e TIE.";"Cruzeiro de Pesca,Embarcação de Pesca,Mapa de Bordo,Pesca,Pesca Artesanal,Pesca Industrial,pescador";"2";"0";"253"
"MPA - Ministério da Pesca e Aquicultura";"Base de dados das Autorizações das Embarcações de Pesca";"Esta base de dados contém dados de embarcações de pesca autorizadas no Sistema Informatizado do Registro Geral da Atividade Pesqueira (SisRGP), incluindo metadados como nome da embarcação, número de Inscrição no RGP (PPP ou RAEP), número de inscrição na Marinha do Brasil, AB, Comprimento, Propulsão, HP, capacidade do porão, volume do tanque, tripulação, número de covos, UF, número da frota, código IN e Petrecho.";"Extrativismo e Pesca,Frota de Embarcações,Pesca";"2";"0";"536"
"MPA - Ministério da Pesca e Aquicultura";"Base de dados de Registros de Aquicultores";"Contém dados de aquicultores no Sistema Informatizado do Registro Geral da Atividade Pesqueira (SisRGP), incluindo metadados como nome /razão social, número no RGP, sistema de cultivo, tipo de atividade, cidade/UF, UF, tipo de registro e gênero.";"Aquicultura,indicadores aquicultura";"2";"0";"502"
"MPA - Ministério da Pesca e Aquicultura";"Base de dados de Registros de Armadores de pesca";"Contém dados dos armadores de pesca no Sistema Informatizado do Registro Geral da Atividade Pesqueira (SisRGP), incluindo metadados como nome /razão social, vínculo com o RGP, número no RGP, cidade, UF e tipo de pessoa.";"Armadores de Pesca,Embarcações de Pesca,Indústria de Pesca";"2";"0";"215"
"MPA - Ministério da Pesca e Aquicultura";"Base de dados de Registros de Empresas Pesqueiras";"Contém dados de empresas pesqueiras no Sistema Informatizado do Registro Geral da Atividade Pesqueira (SisRGP), incluindo metadados como nome /razão social, vínculo com o RGP, número no RGP, cidade, UF e tipo de pessoa.";"Aquicultura,Empresa Pesqueira,Pesca";"2";"0";"431"
"MPA - Ministério da Pesca e Aquicultura";"Base de dados de captura da espécie Pargo";"Contém informações extraídas dos mapas de bordo das frotas 1.8, 1.9 e 1.10, incluindo metadados como id mapa de bordo, nome da embarcação, data de saída, data de chegada, ano, código in, espécie e produção (t).";"Embarcações de Pesca,Pargo,Pesca,Pescador,Recurso Pesqueiro";"2";"0";"261"
"MPA - Ministério da Pesca e Aquicultura";"Base de dados de captura da espécie Tainha";"Contém dados de mapas de bordo das frotas 1.8, 1.9 e 1.10 na Instrução Normativa MPA/MMA n°10, de 10 de junho de 2011, incluindo metadados como id mapa de bordo, nome da embarcação, data de saída, data de chegada, ano, código in, espécie e produção (t).";"Embarcação de Pesca,Empresa Pesqueira,Industria,Pesca,Pescador,Recurso Pesqueiro,Tainha";"4";"0";"332"
"MPA - Ministério da Pesca e Aquicultura";"Base de dados dos Registros de Pescadores e Pescadoras Profissionais";"Contém dados de pescadores registrados no PesqBrasil Pescador e Pescadora Profissional, incluindo metadados como CPF (tarjado), nome do pescador, tipo data de nascimento, nível escolaridade, tipo alfabetização, sexo, categoria, forma de atuação, UF e município.";"Pesca,Pescador industrial,pescador artesanal";"28";"1";"2737"
"MPA - Ministério da Pesca e Aquicultura";"Dados de Cessões de Uso em Águas da União";"Planilha com as informações de todos os contratos de cessão que são firmados com pessoas físicas ou jurídicas que solicitaram espaços físicos em águas da União para fins de aquicultura. Esses dados são atualizados mensalmente, e são retirados do SINAU (Sistema Nacional das Autoriazações de Uso para fins de Aquicultura em Águas da União";"Aquicultura,Piscicultura,indicadores aquicultura,Águas da União";"2";"0";"200"
