id_fonte,origem,tipo_fonte,data_acesso,licenca,status_licenca,area,tema,unidade_observacional,estrutura_estatistica,destino_pretendido,decisao,arquivo_local,observacoes
bhujel_2008_statistics_aquaculture,"Bhujel, R. C. (2008). Statistics for Aquaculture. Wiley-Blackwell.",livro,2026-07-08,nao_definida,livro_com_autorizacao_pendente,aquicultura,varios,varia_por_dataset,descritiva; frequencia; testes; anova; regressao; ancova; multivariada,aula_interna_e_prototipo,pedir_autorizacao,bhujel_statistics_aquaculture_dados_v02_traduzido.xlsx; Statistics for Aquaculture - Ram Bhujel - 2008 - Wiley-Blackwell.pdf,Workbook inventariado com 19 datasets. Nao redistribuir publicamente antes de autorizacao formal.
rutledge_2025_brook_trout_dryad,"Rutledge, E.; Nislow, K.; Fuller, M.; McCormick, S.; Chen, C.; Chadwick, J. G. (2025). Interactive effects of temperature and food ration on growth and mercury concentration in eastern brook trout [Dataset]. Dryad. DOI: 10.5061/dryad.v6wwpzh86.",dataset_dryad,2026-07-08,CC0,publico_aberto,aquicultura; bioecologia pesqueira,crescimento; temperatura; racao; mercurio,peixe_individual,regressao multipla; interacao; diagnostico de modelos,aula_livro_pacote_avaliacao,aceitar,dados_organizados_limpos_para_pacote_aulas.xlsx; provisorios/doi_10_5061_dryad_v6wwpzh86__v20250827.zip,Planilha-mae criada com info_conjuntos e truta_regressao_limpo. A planilha guarda apenas dados limpos; a fonte e o arquivo bruto local ficam registrados para recuperacao futura. A aba limpa e uma adaptacao didatica com 69 linhas completas e 8 variaveis.
amira_2021_tilapia_microalgas_mendeley,"Amira, K. I.; Rahman, M. R.; Sikder, S.; Khatoon, H.; Afruj, J.; Haque, M. E.; Minhaz, T. M. (2021). Data on Growth, Survivability, Water quality and Hemato-biochemical Indices of Nile Tilapia (Oreochromis niloticus) Fry Fed with Selected Marine Microalgae. Data in Brief / Mendeley Data. Dataset DOI: 10.17632/hv5fg5r869.1.",dataset_mendeley,2026-07-08,CC BY 4.0,publico_aberto,aquicultura; nutricao de peixes; qualidade de agua,tilapia; microalgas; crescimento; sobrevivencia; qualidade de agua; hematologia; bioquimica,tanque,regressao multipla; PCA; comparacao de tratamentos,aula_livro_pacote_avaliacao,aceitar,dados_organizados_limpos_para_pacote_aulas.xlsx; hv5fg5r869-1.zip,"Base limpa adicionada na aba tilapia_microalgas1 com 15 tanques e 32 variaveis. Linhas de Average/STDEV/SE removidas; tabelas de crescimento, agua, hematologia e bioquimica combinadas por codigo de tratamento/replica."
jorge_2025_peixes_portugal_mendeley,"Jorge, A. O.; Oliveira, M. B. P. P.; Prieto, M. A. (2025). Nutritional Composition and Derived Indices of Fish Species Sold in Portugal. Mendeley Data. DOI: 10.17632/3wvbgtwkfz.1.",dataset_mendeley,2026-07-08,CC BY 4.0,publico_aberto,ciencia de alimentos; nutricao; pescado,composicao nutricional; peixes comerciais; Portugal; acidos graxos; minerais,especie,ACP; AAH; k-means; heatmap; correlacao,aula_livro_pacote_avaliacao,aceitar,dados_organizados_limpos_para_pacote_aulas.xlsx; Nutritional Composition and Derived Indices of Fis.zip,"Base limpa adicionada na aba peixes_nutricao1 com 40 especies e 22 variaveis. A fonte original tinha 69 colunas em RAW_DATA; a versao didatica manteve nutrientes centrais e o cluster dos autores como rotulo auxiliar, removendo indices derivados para evitar redundancia em ACP/AAH."
bano_takacs_2022_morfometria_mendeley,"Bánó, K.; Takács, P. (2022). Raw morphometric data of three freshwater fish species. Mendeley Data / Hydrobiologia. DOI: 10.17632/c8856zg4hj.1.",dataset_mendeley,2026-07-08,CC BY 4.0,publico_aberto,biometria; morfometria de peixes,morfometria; especies de agua doce; variacao corporal; selecao de variaveis,individuo,ACP; AAH; heatmap; distancia euclidiana; distancia de Mahalanobis; discriminacao de grupos,aula_livro_pacote_avaliacao,aceitar,dados_organizados_limpos_para_pacote_aulas.xlsx; Raw_morphometric_data.xlsx,"Base curada principal em peixes_morfometria_completo1. Em 2026-07-09 foi adicionada a aba didatica morfometria_barbo1, com 100 individuos de Barbus petenyi, 5 populacoes balanceadas e 10 medidas corrigidas alometricamente por SL para AAH. O bruto tinha cabecalho inconsistente na aba raw data; os nomes das medidas foram reconstruidos a partir da aba variables. A coluna rio da versao Barbus usa rotulos derivados da populacao porque a planilha bruta local nao informa os nomes reais dos rios."
benett_2025_recifes_ostras_zenodo,Bennett et al. (2025). Oyster reef structure and fish assemblages dataset. Zenodo record 19993470.,dataset_zenodo,2026-07-08,verificar_no_registro,fonte_aberta_com_registro,ecologia de peixes; habitat; recifes de ostras,assembleias de peixes; recifes; diversidade; abundancia; estrutura do habitat,levantamento_visual,heatmap; correlacao; ACP; comparacao entre grupos,aula_livro_pacote_avaliacao,aceitar,dados_organizados_limpos_para_pacote_aulas.xlsx; MeanCount.NO.hyperabundants.dat.csv,"Base limpa adicionada na aba recifes_heatmap1 com 301 levantamentos e 26 colunas curadas. A coluna tecnica Unnamed: 0 foi removida; os nomes foram traduzidos/adaptados para uso didatico. Bom para heatmap por zona, estacao e sitio, com cuidado metodologico porque metricas estruturais do recife se repetem entre levantamentos do mesmo recife."
bagley_2022_lwr_central_america,"Bagley, J. C., Breitman, M. F., & Johnson, J. B. (2022). Length-weight relation for seven Neotropical freshwater fish species (Actinopterygii) endemic to Central America. Acta Ichthyologica et Piscatoria 52(3): 183-187. Dataset DOI: 10.17632/kphrvvgwwz.1.",dataset_mendeley,2026-07-08,CC BY 4.0,publico_aberto,bioecologia pesqueira; morfometria,relacao comprimento-peso; LWR; crescimento alometrico; isometrico; peixes de agua doce; America Central; neotropico,individuo,ANCOVA; regressao linear; log-linear; comparacao de slopes; teste de isometria,aula_livro_pacote_avaliacao,aceitar,provisorios/bagley_2022_lwr_clean.xlsx; Bagley_et_al_2022_DataS1.xlsx,"Dataset limpo com 306 individuos, 9 especies, 3 paises (Costa Rica, Nicaragua, Panama). Versao didatica para ANCOVA com log(peso) ~ log(SL) + especie. Cuidado: desequilibrio entre especies (n varia de 1 a 101). Recomendado filtrar especies com n >= 10 para aula. Artigo open access (CC BY 4.0)."
malyenge_2025_lagosta_namibia_mendeley,"Malyenge, S. (2025). Abundance, Size Structure, and Sex Ratio Variation of West Coast Rock Lobster (Jasus lalandii) in Cultivated and Natural Kelp Forests off Lüderitz, Namibia. Mendeley Data. DOI: 10.17632/y4vc857g9y.1.",dataset_mendeley,2026-07-11,CC BY 4.0,publico_aberto,bioecologia pesqueira; pesca costeira,lagosta; estrutura de tamanho; razao sexual; habitat; qualidade da agua,lagosta individual,ANOVA/GLM; qui-quadrado; regressao logistica; descritiva por mes e sitio,aula_livro_pacote_avaliacao,aceitar,dados_organizados_limpos_para_pacote_aulas.xlsx; provisorios/malyenge_2025_lobster_mendeley/Lobster Log sheet.xlsx,Base limpa adicionada na aba lagosta_namibia1 com 1457 individuos e 18 variaveis. Totais por mes/sitio validados contra a aba Combined; divergencia interna de sexo em setembro/SWB documentada.
ropke_2025_bagres_madeira_mendeley,"Ropke, C.; Zuanon, J. A. S.; Fonseca, M.; Lima, M. A.; Sant'Anna, I.; Gunther, H.; Torrente-Vilara, G.; Doria, C. (2025). Data for: Diet of large Catfishes from Madeira River. Mendeley Data. DOI: 10.17632/b7kwsyzmyf.1.",dataset_mendeley,2026-07-11,CC BY 4.0,publico_aberto,bioecologia pesqueira; ecologia trofica; Amazonia,dieta; bagres migradores; periodo hidrologico; particao de nicho; rio Madeira,estomago de peixe predador,qui-quadrado; ANOVA/GLM; ACP; AAH; comparacao entre especies e periodo hidrologico,atividade_consolidacao_aula_livro_pacote,aceitar,dados_organizados_limpos_para_pacote_aulas.xlsx; provisorios/ropke_2025_bagres_madeira_mendeley/diet of large catfishes from Madeira River_mendeley data.csv,Base limpa adicionada na aba bagres_dieta_madeira1 com 315 estomagos e 25 variaveis. Os 85 itens alimentares originais foram agrupados em seis grupos troficos didaticos; 3 linhas foram reescalonadas proporcionalmente para soma 100%.
darter_ontario_fsa_reid_2004,"FSAdata::DarterOnt. Idades e comprimentos de Percina copelandi dos rios Salmon e Trent, Ontario; reconstruido da Figura 2 de Reid (2004). Artigo DOI: 10.1080/02705060.2004.9664917.",dataset_pacote_r,2026-07-11,GPL-2 ou GPL-3,publico_aberto,bioecologia pesqueira; biologia de peixes,idade; comprimento; comparacao de dois grupos; Mann-Whitney,peixe individual,Mann-Whitney; graficos de distribuicao; regressao idade-comprimento,atividade_consolidacao_aula_livro_pacote,aceitar,dados_organizados_limpos_para_pacote_aulas.xlsx; provisorios/fsa_darter_ontario/DarterOnt.csv,"Base limpa adicionada na aba darter_ontario1 com 54 peixes e 4 variaveis. Ha empates em idade; usar wilcox.test(..., exact = FALSE)."
