id_peixe,idade_anos,comprimento_total_mm,rio
DO01,1,37.8,Salmon
DO02,2,39.7,Salmon
DO03,2,43.6,Salmon
DO04,2,46.7,Salmon
DO05,2,47.6,Salmon
DO06,2,50.4,Salmon
DO07,2,51.2,Salmon
DO08,2,56.2,Salmon
DO09,3,60.5,Salmon
DO10,3,56.2,Salmon
DO11,3,55.0,Salmon
DO12,3,53.8,Salmon
DO13,3,51.2,Salmon
DO14,4,59.4,Salmon
DO15,4,57.2,Salmon
DO16,4,53.4,Salmon
DO17,2,50.7,Salmon
DO18,2,46.7,Salmon
DO19,3,55.6,Salmon
DO20,3,53.8,Salmon
DO21,2,45.9,Salmon
DO22,1,43.1,Trent
DO23,2,44.2,Trent
DO24,2,47.2,Trent
DO25,2,48.2,Trent
DO26,2,49.1,Trent
DO27,2,59.4,Trent
DO28,5,62.5,Trent
DO29,4,63.5,Trent
DO30,4,61.3,Trent
DO31,4,60.3,Trent
DO32,4,57.5,Trent
DO33,4,55.9,Trent
DO34,3,49.9,Trent
DO35,3,51.0,Trent
DO36,3,63.2,Trent
DO37,3,61.2,Trent
DO38,3,60.4,Trent
DO39,3,59.4,Trent
DO40,3,58.4,Trent
DO41,3,57.5,Trent
DO42,3,56.8,Trent
DO43,3,55.8,Trent
DO44,3,55.1,Trent
DO45,3,54.3,Trent
DO46,3,53.4,Trent
DO47,3,52.6,Trent
DO48,2,47.6,Trent
DO49,4,60.8,Trent
DO50,4,56.4,Trent
DO51,3,58.4,Trent
DO52,3,60.2,Trent
DO53,3,55.1,Trent
DO54,4,61.0,Trent
