id_lagosta,ano,mes,mes_nome,data_amostragem,sitio,sexo,comprimento_cefalotorax_mm,armadilha,substrato,temperatura_c,salinidade,oxigenio_dissolvido_mg_l,oxigenio_saturacao_pct,ph,profundidade_m,coordenadas,maturidade_reprodutiva
LN0001,2024,9,setembro,2024-09-28,DIAZ,M,45.0,1,In Kelp,10.8,14.602,8.93,92.6,7.79,,"S26.64713, E15.08430",
LN0002,2024,9,setembro,2024-09-28,DIAZ,F,49.0,1,In Kelp,10.8,14.602,8.93,92.6,7.79,,"S26.64713, E15.08430",
LN0003,2024,9,setembro,2024-09-28,DIAZ,M,46.0,1,In Kelp,10.8,14.602,8.93,92.6,7.79,,"S26.64713, E15.08430",
LN0004,2024,9,setembro,2024-09-28,DIAZ,M,41.0,1,In Kelp,10.8,14.602,8.93,92.6,7.79,,"S26.64713, E15.08430",
LN0005,2024,9,setembro,2024-09-28,DIAZ,F,45.0,1,In Kelp,10.8,14.602,8.93,92.6,7.79,,"S26.64713, E15.08430",
LN0006,2024,9,setembro,2024-09-28,DIAZ,M,49.0,2,In Kelp,10.8,14.602,8.93,92.6,7.79,,"S26.64713, E15.08430",
LN0007,2024,9,setembro,2024-09-28,DIAZ,M,49.0,2,In Kelp,10.8,14.602,8.93,92.6,7.79,,"S26.64713, E15.08430",
LN0008,2024,9,setembro,2024-09-28,DIAZ,F,52.0,2,In Kelp,10.8,14.602,8.93,92.6,7.79,,"S26.64713, E15.08430",
LN0009,2024,9,setembro,2024-09-28,DIAZ,F,44.0,2,In Kelp,10.8,14.602,8.93,92.6,7.79,,"S26.64713, E15.08430",
LN0010,2024,9,setembro,2024-09-28,DIAZ,M,45.0,2,In Kelp,10.8,14.602,8.93,92.6,7.79,,"S26.64713, E15.08430",
LN0011,2024,9,setembro,2024-09-28,DIAZ,F,40.0,2,In Kelp,10.8,14.602,8.93,92.6,7.79,,"S26.64713, E15.08430",
LN0012,2024,9,setembro,2024-09-28,DIAZ,M,52.0,2,In Kelp,10.8,14.602,8.93,92.6,7.79,,"S26.64713, E15.08430",
LN0013,2024,9,setembro,2024-09-28,DIAZ,M,44.0,2,In Kelp,10.8,14.602,8.93,92.6,7.79,,"S26.64713, E15.08430",
LN0014,2024,9,setembro,2024-09-28,DIAZ,F,48.0,2,In Kelp,10.8,14.602,8.93,92.6,7.79,,"S26.64713, E15.08430",
LN0015,2024,9,setembro,2024-09-28,DIAZ,M,52.0,2,In Kelp,10.8,14.602,8.93,92.6,7.79,,"S26.64713, E15.08430",
LN0016,2024,9,setembro,2024-09-28,DIAZ,M,52.0,2,In Kelp,10.8,14.602,8.93,92.6,7.79,,"S26.64713, E15.08430",
LN0017,2024,9,setembro,2024-09-28,DIAZ,M,51.0,2,In Kelp,10.8,14.602,8.93,92.6,7.79,,"S26.64713, E15.08430",
LN0018,2024,9,setembro,2024-09-28,DIAZ,M,48.0,2,In Kelp,10.8,14.602,8.93,92.6,7.79,,"S26.64713, E15.08430",
LN0019,2024,9,setembro,2024-09-28,DIAZ,F,52.0,2,In Kelp,10.8,14.602,8.93,92.6,7.79,,"S26.64713, E15.08430",
LN0020,2024,9,setembro,2024-09-28,DIAZ,F,40.0,2,In Kelp,10.8,14.602,8.93,92.6,7.79,,"S26.64713, E15.08430",
LN0021,2024,9,setembro,2024-09-28,DIAZ,M,49.0,2,In Kelp,10.8,14.602,8.93,92.6,7.79,,"S26.64713, E15.08430",
LN0022,2024,9,setembro,2024-09-28,DIAZ,F,70.0,2,In Kelp,10.8,14.602,8.93,92.6,7.79,,"S26.64713, E15.08430",Berrying
LN0023,2024,9,setembro,2024-09-28,DIAZ,M,47.0,2,In Kelp,10.8,14.602,8.93,92.6,7.79,,"S26.64713, E15.08430",
LN0024,2024,9,setembro,2024-09-28,DIAZ,M,47.0,2,In Kelp,10.8,14.602,8.93,92.6,7.79,,"S26.64713, E15.08430",
LN0025,2024,9,setembro,2024-09-28,DIAZ,M,45.0,2,In Kelp,10.8,14.602,8.93,92.6,7.79,,"S26.64713, E15.08430",
LN0026,2024,9,setembro,2024-09-28,DIAZ,F,45.0,2,In Kelp,10.8,14.602,8.93,92.6,7.79,,"S26.64713, E15.08430",
LN0027,2024,9,setembro,2024-09-28,DIAZ,M,57.0,2,In Kelp,10.8,14.602,8.93,92.6,7.79,,"S26.64713, E15.08430",
LN0028,2024,9,setembro,2024-09-28,DIAZ,M,42.0,2,In Kelp,10.8,14.602,8.93,92.6,7.79,,"S26.64713, E15.08430",
