PIT,tank,Hg,temperature,growth_spe,tempfac,tot_tank_consumption,conv_eff,day00massg,day24massg,Tagnumber
B6767,11,52.48,15.52,3.09933,16,86.1,0.43,12.5,26.3,B6767
54C09,11,56.78,15.52,3.52621,16,86.1,0.43,14.2,33.1,54C09
42679,11,51.46,15.52,3.24574,16,86.1,0.43,10.6,23.1,42679
19167,11,53.38,15.52,3.31221,16,86.1,0.43,12.6,27.9,19167
24605,11,59.24,15.52,3.92293,16,86.1,0.43,9.4,24.1,24605
26772,11,56.31,15.52,2.69094,16,86.1,0.43,11.9,22.7,26772
17353,11,54.04,15.52,3.00889,16,86.1,0.43,10.2,21,17353
19819,11,50,15.52,2.69782,16,86.1,0.43,11.2,21.4,19819
79442,12,52.19,17.74,2.208,18,77.4,0.4,8.3,14.1,79442
10849,12,70.02,17.74,2.35998,18,77.4,0.4,10.5,18.5,10849
91596,12,44.63,17.74,3.21127,18,77.4,0.4,12.4,26.8,91596
12207,12,53.77,17.74,3.26399,18,77.4,0.4,14.3,31.3,12207
9921,12,61.92,17.74,3.30099,18,77.4,0.4,9.6,21.2,9921
22627,12,53.21,17.74,3.13432,18,77.4,0.4,11.5,24.4,22627
4020C,12,52.19,17.74,3.22162,18,77.4,0.4,13.2,28.6,4020C
52926,12,49.03,17.74,2.01124,18,77.4,0.4,13.7,22.2,52926
23195,13,71.46,20.03,1.6083,20,57,0.35,12.1,17.8,23195
65561,13,58.08,20.03,2.04176,20,57,0.35,13.6,22.2,65561
16015,13,50.99,20.03,2.27338,20,57,0.35,11.3,19.5,16015
31791,13,54.3,20.03,1.87063,20,57,0.35,12,18.8,31791
21579,13,50.15,20.03,2.55725,20,57,0.35,13.1,24.2,21579
39949,13,52.61,20.03,2.46777,20,57,0.35,9.9,17.9,39949
24601,13,58.76,20.03,2.37887,20,57,0.35,11.3,20,24601
62438,14,71.4,22.37,0.82505,22,45.8,0.21,13.7,16.7,62438
24025,14,51.57,22.37,2.02976,22,45.8,0.21,9.4,15.3,24025
39360,14,87.17,22.37,0.9584,22,45.8,0.21,11.6,14.6,39360
25618,14,61.61,22.37,0.31931,22,45.8,0.21,11.3,12.2,25618
21274,14,65.32,22.37,0.74667,22,45.8,0.21,10.7,12.8,21274
59064,14,74.19,22.37,0.55638,22,45.8,0.21,9.1,10.4,59064
92C56,14,65.33,22.37,0,22,45.8,0.21,14.8,14.8,92C56
19817,14,57.48,22.37,2.29186,22,45.8,0.21,13.5,23.4,19817
19825,15,85.05,24.36,-1.0384,24,25,-0.93,13.6,10.6,19825
E0002,15,92.86,24.36,-0.81963,24,25,-0.93,8.4,6.9,E0002
27693,15,78.44,24.36,-0.70591,24,25,-0.93,15.4,13,27693
24587,15,90.69,24.36,-0.8963,24,25,-0.93,9.3,7.5,24587
30662,15,84.89,24.36,-0.8398,24,25,-0.93,12.6,10.3,30662
16645,15,85.19,24.36,-0.8211,24,25,-0.93,12.3,10.1,16645
26882,15,89.49,24.36,-1.04714,24,25,-0.93,11.7,9.1,26882
