id_estomago,nome_popular,especie_predador,genero_predador,localidade,trecho_rio,periodo_hidrologico,mes,ano,comprimento_padrao_cm,peso_g,grau_replecao,volume_total_original_pct,volume_reescalonado_100,volume_peixe_nao_identificado_pct,volume_restos_peixe_pct,volume_ordens_peixes_pct,volume_familias_peixes_pct,volume_peixes_identificados_pct,volume_invertebrados_pct,volume_total_dieta_pct,riqueza_itens_alimentares,item_dominante_original,volume_item_dominante_pct,dieta_mista
BM001,babao,Brachyplatystoma platynemum,Brachyplatystoma,São Carlos,downriver Santo Antonio rapid,cheia,dezembro,2009,69.0,3000.0,2,100.0,False,0.0,0.0,0.0,0.0,100.0,0.0,100.0,1,Triportheus  spp.,100.0,False
BM002,babao,Brachyplatystoma platynemum,Brachyplatystoma,São Carlos,downriver Santo Antonio rapid,cheia,dezembro,2009,59.0,2000.0,2,100.0,False,0.0,0.0,0.0,0.0,100.0,0.0,100.0,1,Triportheus  spp.,100.0,False
BM003,babao,Brachyplatystoma platynemum,Brachyplatystoma,São Carlos,downriver Santo Antonio rapid,cheia,dezembro,2009,72.0,4000.0,3,100.0,False,0.0,0.0,0.0,0.0,100.0,0.0,100.0,1,Triportheus  spp.,100.0,False
BM004,babao,Brachyplatystoma platynemum,Brachyplatystoma,Cachoeira do Macaco,between Santo Antonio and Jirau rapids,vazante_seca,junho,2009,57.0,2000.0,1,100.0,False,0.0,0.0,100.0,0.0,0.0,0.0,100.0,1,Siluriformes,100.0,False
BM005,babao,Brachyplatystoma platynemum,Brachyplatystoma,Cachoeira do Macaco,between Santo Antonio and Jirau rapids,vazante_seca,junho,2009,47.0,2000.0,2,100.0,False,0.0,0.0,100.0,0.0,0.0,0.0,100.0,1,Gymnotyformes,100.0,False
BM006,filhote,Brachyplatystoma filamentosum,Brachyplatystoma,Jaciparaná,between Santo Antonio and Jirau rapids,vazante_seca,setembro,2009,89.0,10000.0,1,100.0,False,0.0,0.0,0.0,0.0,100.0,0.0,100.0,1,Curimatella meyeri,100.0,False
BM007,filhote,Brachyplatystoma filamentosum,Brachyplatystoma,Cachoeira do Teotônio,between Santo Antonio and Jirau rapids,vazante_seca,julho,2009,119.0,24000.0,2,100.0,False,0.0,0.0,0.0,0.0,100.0,0.0,100.0,1,Cetopsis coecutiens,100.0,False
BM008,filhote,Brachyplatystoma filamentosum,Brachyplatystoma,São Carlos,downriver Santo Antonio rapid,vazante_seca,agosto,2009,82.0,8000.0,3,100.0,False,0.0,0.0,0.0,0.0,100.0,0.0,100.0,1,Leporinus spp.,100.0,False
BM009,filhote,Brachyplatystoma filamentosum,Brachyplatystoma,Jaciparaná,between Santo Antonio and Jirau rapids,vazante_seca,junho,2009,74.0,4700.0,1,100.0,False,0.0,0.0,0.0,0.0,100.0,0.0,100.0,1,Anodus spp.,100.0,False
BM010,filhote,Brachyplatystoma filamentosum,Brachyplatystoma,São Carlos,downriver Santo Antonio rapid,vazante_seca,maio,2009,97.0,14000.0,1,100.0,False,100.0,0.0,0.0,0.0,0.0,0.0,100.0,1,fish n.i.,100.0,False
BM011,filhote,Brachyplatystoma filamentosum,Brachyplatystoma,São Carlos,downriver Santo Antonio rapid,cheia,abril,2009,,17000.0,2,100.0,False,0.0,0.0,100.0,0.0,0.0,0.0,100.0,1,Siluriformes,100.0,False
BM012,filhote,Brachyplatystoma filamentosum,Brachyplatystoma,São Carlos,downriver Santo Antonio rapid,vazante_seca,setembro,2009,94.0,13800.0,3,100.0,False,0.0,0.0,0.0,0.0,100.0,0.0,100.0,1,Pterodoras granulosus,100.0,False
BM013,filhote,Brachyplatystoma filamentosum,Brachyplatystoma,São Carlos,downriver Santo Antonio rapid,cheia,dezembro,2009,123.0,30000.0,3,100.0,False,0.0,0.0,0.0,100.0,0.0,0.0,100.0,1,Myleinae,100.0,False
BM014,filhote,Brachyplatystoma filamentosum,Brachyplatystoma,São Carlos,downriver Santo Antonio rapid,cheia,dezembro,2009,94.0,13000.0,3,100.0,False,0.0,0.0,0.0,0.0,100.0,0.0,100.0,1,Mylossoma duriventre,100.0,False
BM015,filhote,Brachyplatystoma filamentosum,Brachyplatystoma,São Carlos,downriver Santo Antonio rapid,cheia,novembro,2009,87.0,11500.0,2,100.0,False,0.0,0.0,100.0,0.0,0.0,0.0,100.0,1,Characiformes,100.0,False
BM016,dourada,Brachyplatystoma rousseauxii,Brachyplatystoma,Cachoeira do Teotônio,between Santo Antonio and Jirau rapids,vazante_seca,maio,2009,99.0,,1,100.0,False,100.0,0.0,0.0,0.0,0.0,0.0,100.0,1,fish n.i.,100.0,False
BM017,dourada,Brachyplatystoma rousseauxii,Brachyplatystoma,Cachoeira do Teotônio,between Santo Antonio and Jirau rapids,vazante_seca,maio,2009,79.0,,1,100.0,False,100.0,0.0,0.0,0.0,0.0,0.0,100.0,1,fish n.i.,100.0,False
BM018,dourada,Brachyplatystoma rousseauxii,Brachyplatystoma,São Carlos,downriver Santo Antonio rapid,vazante_seca,agosto,2009,85.0,10000.0,3,100.0,False,0.0,0.0,0.0,0.0,100.0,0.0,100.0,1,Hypophthalmus marginatus,100.0,False
BM019,dourada,Brachyplatystoma rousseauxii,Brachyplatystoma,São Carlos,downriver Santo Antonio rapid,vazante_seca,agosto,2009,82.0,9000.0,3,100.0,False,0.0,0.0,0.0,0.0,100.0,0.0,100.0,1,Hypophthalmus marginatus,100.0,False
BM020,dourada,Brachyplatystoma rousseauxii,Brachyplatystoma,São Carlos,downriver Santo Antonio rapid,vazante_seca,setembro,2009,82.0,8000.0,3,100.0,False,0.0,0.0,0.0,0.0,100.0,0.0,100.0,1,Hypophthalmus marginatus,100.0,False
BM021,dourada,Brachyplatystoma rousseauxii,Brachyplatystoma,São Carlos,downriver Santo Antonio rapid,vazante_seca,setembro,2009,80.0,7500.0,3,100.0,False,0.0,0.0,0.0,0.0,100.0,0.0,100.0,1,Hypophthalmus marginatus,100.0,False
BM022,dourada,Brachyplatystoma rousseauxii,Brachyplatystoma,São Carlos,downriver Santo Antonio rapid,vazante_seca,agosto,2009,73.0,6000.0,2,100.0,False,0.0,0.0,100.0,0.0,0.0,0.0,100.0,1,Characiformes,100.0,False
BM023,dourada,Brachyplatystoma rousseauxii,Brachyplatystoma,São Carlos,downriver Santo Antonio rapid,cheia,abril,2009,,13000.0,2,100.0,False,0.0,0.0,0.0,100.0,0.0,0.0,100.0,1,Pimelodidae,100.0,False
BM024,dourada,Brachyplatystoma rousseauxii,Brachyplatystoma,São Carlos,downriver Santo Antonio rapid,cheia,dezembro,2009,76.0,6000.0,3,100.0,False,0.0,0.0,100.0,0.0,0.0,0.0,100.0,1,Gymnotyformes,100.0,False
