 popular_name;specie;localilty;area;season;month;year;standard_length (cm);weigth (g);stomach_fullness ;fish n.i.;bones;Characiformes;Clupeiformes;Gymnotyformes;Siluriformes;Anostomidae;Characidae;Curimatidae;Doradidae;Hemiodontidae;Pimelodidae;Myleinae;Tetragonopterinae;Adontosternarchus balaenops;Anadoras weddellii;Ancistrus sp. sideral;Apteronotus bonaparti;Astrodoras asterifrons;Astyanax aff. bimaculatus;Bryconops alburnoides;Calophysus macropterus;Cetopsis candiru;Cetopsis coecutiens;Curimatella meyeri;Duopalatinum peruano;Exallodontus aguanai;Hoplosternum littorale;Hypophthalmus marginatus;Leptodoras juruensis;Nemadoras humeralis;Mylossoma duriventre;Pellona castelnaeana;Pimelodina flavipinnis;Pimelodus blochii;Planiloricaria cryptodon;Potamorhina altamazonica;Potamorhina latior;Prochilodus nigricans;Psectrogaster amazonica;Psectrogastrer essequibensis;Psectrogaster rutiloides;Pseudanos trimaculatus;Pterodoras granulosus;Rhaphiodon vulpinus;Roeboides myersi;Schizodon fasciatus;Semaprochilodus insignis;Sternarchogiton preto;Tetragonopterus argenteus;Triportheus angulatus;Triportheus auritus;Acestrorhynchus spp.;Amblydoras spp.;Anodus spp.;Aphyocharax sp.;Brycon spp.;Caenotropus sp.;Cetopsis spp.;Crenicichla spp.;Geophagus spp.;Hypophthalmus spp.;Leporinus spp.;Megalonema spp.;Moenkhausia spp.;Mylossoma spp.;Pellona spp.;Pimelodus spp.;Pimelodella spp.;Plasgioscion spp.;Potamorhina spp.;Psectrogaster spp.;Semaprochilodus spp.;Sorubim spp.;Symbranchus spp.;Tetragonopterus spp.;Trachydoras spp.;Triportheus  spp.;scales;Coleoptera;Megaloptera;Trichoptera;Trichodactylus sp.;Macrobrachium spp.;reamins of invertebrates
Babão;Brachyplatystoma platynemum;São Carlos;downriver Santo Antonio rapid;High-water;December;2009;69;3000;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;
Babão;Brachyplatystoma platynemum;São Carlos;downriver Santo Antonio rapid;High-water;December;2009;59;2000;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;
Babão;Brachyplatystoma platynemum;São Carlos;downriver Santo Antonio rapid;High-water;December;2009;72;4000;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;
Babão;Brachyplatystoma platynemum;Cachoeira do Macaco;between Santo Antonio and Jirau rapids;Low-water;June;2009;57;2000;1;;;;;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Babão;Brachyplatystoma platynemum;Cachoeira do Macaco;between Santo Antonio and Jirau rapids;Low-water;June;2009;47;2000;2;;;;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Filhote;Brachyplatystoma filamentosum;Jaciparaná ;between Santo Antonio and Jirau rapids;Low-water;September;2009;89;10000;1;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Filhote;Brachyplatystoma filamentosum;Cachoeira do Teotônio;between Santo Antonio and Jirau rapids;Low-water;July;2009;119;24000;2;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Filhote;Brachyplatystoma filamentosum;São Carlos;downriver Santo Antonio rapid;Low-water;August;2009;82;8000;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;;;;;;;;;;;;;
Filhote;Brachyplatystoma filamentosum;Jaciparaná;between Santo Antonio and Jirau rapids;Low-water;June;2009;74;4700;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Filhote;Brachyplatystoma filamentosum;São Carlos;downriver Santo Antonio rapid;Low-water;May;2009;97;14000;1;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Filhote;Brachyplatystoma filamentosum;São Carlos;downriver Santo Antonio rapid;High-water;April;2009;;17000;2;;;;;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Filhote;Brachyplatystoma filamentosum;São Carlos;downriver Santo Antonio rapid;Low-water;September;2009;94;13800;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Filhote;Brachyplatystoma filamentosum;São Carlos;downriver Santo Antonio rapid;High-water;December;2009;123;30000;3;;;;;;;;;;;;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Filhote;Brachyplatystoma filamentosum;São Carlos;downriver Santo Antonio rapid;High-water;December;2009;94;13000;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Filhote;Brachyplatystoma filamentosum;São Carlos;downriver Santo Antonio rapid;High-water;November;2009;87;11500;2;;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dourada;Brachyplatystoma rousseauxii;Cachoeira do Teotônio;between Santo Antonio and Jirau rapids;Low-water;May;2009;99;;1;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dourada;Brachyplatystoma rousseauxii;Cachoeira do Teotônio;between Santo Antonio and Jirau rapids;Low-water;May;2009;79;;1;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dourada;Brachyplatystoma rousseauxii;São Carlos;downriver Santo Antonio rapid;Low-water;August;2009;85;10000;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dourada;Brachyplatystoma rousseauxii;São Carlos;downriver Santo Antonio rapid;Low-water;August;2009;82;9000;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dourada;Brachyplatystoma rousseauxii;São Carlos;downriver Santo Antonio rapid;Low-water;September;2009;82;8000;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dourada;Brachyplatystoma rousseauxii;São Carlos;downriver Santo Antonio rapid;Low-water;September;2009;80;7500;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dourada;Brachyplatystoma rousseauxii;São Carlos;downriver Santo Antonio rapid;Low-water;August;2009;73;6000;2;;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dourada;Brachyplatystoma rousseauxii;São Carlos;downriver Santo Antonio rapid;High-water;April;2009;;13000;2;;;;;;;;;;;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dourada;Brachyplatystoma rousseauxii;São Carlos;downriver Santo Antonio rapid;High-water;December;2009;76;6000;3;;;;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dourada;Brachyplatystoma rousseauxii;Humaitá;downriver Santo Antonio rapid;High-water;December;2009;;;1;55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;45;
Filhote;Brachyplatystoma filamentosum;Calama;downriver Santo Antonio rapid;Low-water;June;2009;101;12000;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Filhote;Brachyplatystoma filamentosum;Cachoeira do Macaco;between Santo Antonio and Jirau rapids;Low-water;June;2009;98;6000;1;;;;;20;80;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Filhote;Brachyplatystoma filamentosum;Calama;downriver Santo Antonio rapid;Low-water;June;2009;90;9500;1;;;;;;;;;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dourada;Brachyplatystoma rousseauxii;Cujubim Grande;downriver Santo Antonio rapid;Low-water;May;2009;;13000;3;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dourada;Brachyplatystoma rousseauxii;São Carlos;downriver Santo Antonio rapid;Low-water;September;2009;92;12000;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;
Filhote;Brachyplatystoma filamentosum;São Carlos;downriver Santo Antonio rapid;Low-water;October;2009;104;16000;3;;;;;;;;;;;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Filhote;Brachyplatystoma filamentosum;Cachoeira do macaco;between Santo Antonio and Jirau rapids;Low-water;June;2009;108;16000;1;;;;;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Filhote;Brachyplatystoma filamentosum;Cachoeira do macaco;between Santo Antonio and Jirau rapids;Low-water;June;2009;113;18000;1;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dourada;Brachyplatystoma rousseauxii;Cachoeira do Macaco;between Santo Antonio and Jirau rapids;Low-water;June;2009;87;6000;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Barbachata;Pinirampus pirinampu;Cachoeira do Teotônio;between Santo Antonio and Jirau rapids;Low-water;July;2009;41;1309;2;;;;;;;;;;;;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dourada;Brachyplatystoma rousseauxii;Calama;downriver Santo Antonio rapid;Low-water;September;2009;83;9000;2;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
