PIT,tank,Hg,temperature,tempfac,ration,rationfac,day00massg,day30massg,growth_spe,growth_abs,conv_eff,growth_abs_tnk_rnk,temperature_s,ration_s,growth_abs_s,growth_spe_s
3774,2,68.84,22,22,0.1877037037037037,High,26.6,37,1.10002,10.4,0.59,1,1.1258979578391801,0.3656771909240888,0.8645081336578693,0.5552250701399514
9309,2,79.98,22,22,0.1877037037037037,High,19.6,25.8,0.91615,6.2,0.59,2,1.1258979578391801,0.3656771909240888,0.28361088332295725,0.36931945386481246
9558,2,76.9,22,22,0.1877037037037037,High,21.8,27.7,0.79841,5.9,0.59,3,1.1258979578391801,0.3656771909240888,0.2421182225847493,0.2502759597644434
9312,2,78.78,22,22,0.1877037037037037,High,19.5,24.6,0.77444,5.1,0.59,4,1.1258979578391801,0.3656771909240888,0.1314711272828612,0.2260405890018662
3890,2,78.55,22,22,0.1877037037037037,High,19.6,23.2,0.56208,3.6,0.59,5,1.1258979578391801,0.3656771909240888,-0.07599217640817874,0.011329561252975687
9163,2,109.03,22,22,0.1877037037037037,High,13.5,15.6,0.48194,2.1,0.59,6,1.1258979578391801,0.3656771909240888,-0.2834554800992187,-0.0696976649845271
9304,2,85.51,22,22,0.1877037037037037,High,25.7,26.7,0.12724,1,0.59,7,1.1258979578391801,0.3656771909240888,-0.4355952361393147,-0.42832453229725764
9416,2,101.61,22,22,0.1877037037037037,High,20.1,18.9,-0.20519,-1.2,0.59,8,1.1258979578391801,0.3656771909240888,-0.7398747482195067,-0.7644348494688703
9503,2,109.27,22,22,0.1877037037037037,High,24.8,21.5,-0.47597,-3.3,0.59,9,1.1258979578391801,0.3656771909240888,-1.0303233733869628,-1.0382126423387354
9366,3,62.5,15,15,0.31406666666666666,High,16.5,39.4,2.90135,22.9,1.42,1,-0.8782004071145604,1.4889382705809715,2.5933689977498693,2.3764975113478477
3831,3,60.59,15,15,0.31406666666666666,High,19.3,40.7,2.48708,21.4,1.42,2,-0.8782004071145604,1.4889382705809715,2.3859056940588292,1.9576411473172732
9168,3,69.74,15,15,0.31406666666666666,High,14.5,28.5,2.25252,14,1.42,3,-0.8782004071145604,1.4889382705809715,1.3624200625163652,1.7204843443940308
3708,3,70.28,15,15,0.31406666666666666,High,18.3,30.2,1.6698,11.9,1.42,4,-0.8782004071145604,1.4889382705809715,1.0719714373489093,1.1313130781959073
9446,3,74.42,15,15,0.31406666666666666,High,19.6,30.8,1.50662,11.2,1.42,5,-0.8782004071145604,1.4889382705809715,0.9751552289597571,0.9663265199548831
9465,3,81.73,15,15,0.31406666666666666,High,27.6,37.9,1.05712,10.3,1.42,6,-0.8782004071145604,1.4889382705809715,0.8506772467451333,0.511850126221947
3830,3,71.84,15,15,0.31406666666666666,High,15.7,25.4,1.6036300000000001,9.7,1.42,7,-0.8782004071145604,1.4889382705809715,0.7676919252687171,1.0644105131829857
9575,3,74.48,15,15,0.31406666666666666,High,16.9,26.5,1.49944,9.6,1.42,8,-0.8782004071145604,1.4889382705809715,0.7538610383559812,0.9590670305066017
3723,3,75.66,15,15,0.31406666666666666,High,10.3,19.2,2.07589,8.9,1.42,9,-0.8782004071145604,1.4889382705809715,0.6570448299668292,1.541898881824401
9454,3,82.37,15,15,0.31406666666666666,High,19.3,26.7,1.08186,7.4,1.42,10,-0.8782004071145604,1.4889382705809715,0.4495815262757893,0.53686402161895
9188,4,67.95,15,15,0.3276,High,27.7,52.4,2.12491,24.7,1.55,1,-0.8782004071145604,1.6092382877292877,2.842324962179117,1.5914615799796592
9354,4,51.93,15,15,0.3276,High,16.5,40.4,2.9849,23.9,1.55,2,-0.8782004071145604,1.6092382877292877,2.731677866877229,2.4609724895378076
9246,4,63.14,15,15,0.3276,High,26.8,46.2,1.81526,19.4,1.55,3,-0.8782004071145604,1.6092382877292877,2.109287955804109,1.2783834591356025
9200,4,68.54,15,15,0.3276,High,24.6,43.7,1.91534,19.1,1.55,4,-0.8782004071145604,1.6092382877292877,2.0677952950659013,1.3795714401918697
9585,4,68.1,15,15,0.3276,High,19.8,37.6,2.13774,17.8,1.55,5,-0.8782004071145604,1.6092382877292877,1.8879937652003334,1.6044336203169085
9355,4,76.4,15,15,0.3276,High,22.4,33.9,1.38118,11.5,1.55,6,-0.8782004071145604,1.6092382877292877,1.0166478896979652,0.8394977795102568
6217,4,71.41,15,15,0.3276,High,12.7,20.2,1.54694,7.5,1.55,7,-0.8782004071145604,1.6092382877292877,0.4634124131885252,1.0070929008120841
9155,4,71.92,15,15,0.3276,High,12.7,20,1.51377,7.3,1.55,8,-0.8782004071145604,1.6092382877292877,0.4357506393630532,0.9735556772745504
9529,4,85.17,15,15,0.3276,High,21.5,28.4,0.92779,6.9,1.55,9,-0.8782004071145604,1.6092382877292877,0.38042709171210926,0.3810883197670402
3703,4,79.34,15,15,0.3276,High,16.5,22.1,0.97406,5.6,1.55,10,-0.8782004071145604,1.6092382877292877,0.20062556184654118,0.42787057279934937
9328,5,79.26,15,15,0.16434000000000001,Low,23.3,35.3,1.38477,12,1.21,1,-0.8782004071145604,0.15799340105681803,1.0858023242616452,0.8431275242343975
3707,5,75.85,15,15,0.16434000000000001,Low,19.2,28,1.25765,8.8,1.21,2,-0.8782004071145604,0.15799340105681803,0.6432139430540933,0.7146001845873877
9508,5,79.29,15,15,0.16434000000000001,Low,16.7,24.3,1.25023,7.6,1.21,3,-0.8782004071145604,0.15799340105681803,0.4772433001012612,0.7070980381101944
9376,5,82.93,15,15,0.16434000000000001,Low,23.4,31,0.9375,7.6,1.21,4,-0.8782004071145604,0.15799340105681803,0.4772433001012612,0.39090581872843466
9295,5,86.8,15,15,0.16434000000000001,Low,17.4,23.8,1.04405,6.4,1.21,5,-0.8782004071145604,0.15799340105681803,0.3112726571484293,0.4986354288557857
9106,5,81.51,15,15,0.16434000000000001,Low,24.8,30.7,0.7114,5.9,1.21,6,-0.8782004071145604,0.15799340105681803,0.2421182225847493,0.1623026760743372
9288,5,86.56,15,15,0.16434000000000001,Low,18.1,23.1,0.81307,5,1.21,7,-0.8782004071145604,0.15799340105681803,0.11764024037012524,0.26509825994714603
9149,5,78.41,15,15,0.16434000000000001,Low,14.6,19.5,0.96464,4.9,1.21,8,-0.8782004071145604,0.15799340105681803,0.1038093534573893,0.4183462844145568
9472,5,101.53,15,15,0.16434000000000001,Low,16.6,20.6,0.71963,4,1.21,9,-0.8782004071145604,0.15799340105681803,-0.02066862875723475,0.17062379002410816
3843,5,112.67,15,15,0.16434000000000001,Low,21,18.7,-0.38666,-2.3,1.21,10,-0.8782004071145604,0.15799340105681803,-0.8920145042596027,-0.9479138954548901
9572,6,69.6,15,15,0.14323333333333332,Low,13.4,28.2,2.48022,14.8,1.16,1,-0.8782004071145604,-0.029627216820802292,1.4730671578182533,1.9507052005742076
9281,6,91.46,15,15,0.14323333333333332,Low,17.2,28.6,1.69499,11.4,1.16,2,-0.8782004071145604,-0.029627216820802292,1.0028170027852292,1.1567819555221202
3745,6,61.69,15,15,0.14323333333333332,Low,11.3,21.9,2.20561,10.6,1.16,3,-0.8782004071145604,-0.029627216820802292,0.8921699074833411,1.6730550059512899
3839,6,83.43,15,15,0.14323333333333332,Low,24.6,30.9,0.76003,6.3,1.16,4,-0.8782004071145604,-0.029627216820802292,0.29744177023569324,0.2114710565576134
9229,6,70.94,15,15,0.14323333333333332,Low,13.4,19.5,1.25053,6.1,1.16,5,-0.8782004071145604,-0.029627216820802292,0.2697799964102212,0.7074013593963343
9402,6,85.28,15,15,0.14323333333333332,Low,10.3,15.5,1.36232,5.2,1.16,6,-0.8782004071145604,-0.029627216820802292,0.14530201419559727,0.8204289813215956
9538,6,90.96,15,15,0.14323333333333332,Low,17.2,17.3,0.01932,0.1,1.16,7,-0.8782004071145604,-0.029627216820802292,-0.5600732183539388,-0.5374393096313143
3880,6,110.92,15,15,0.14323333333333332,Low,15.2,14.1,-0.2504,-1.1,1.16,8,-0.8782004071145604,-0.029627216820802292,-0.7260438613067707,-0.8101453672901517
3776,6,132.74,15,15,0.14323333333333332,Low,16.2,14.8,-0.30128,-1.4,1.16,9,-0.8782004071145604,-0.029627216820802292,-0.7675365220449788,-0.8615886574194772
9461,6,97.14,15,15,0.14323333333333332,Low,25.9,23.9,-0.26788,-2,1.16,10,-0.8782004071145604,-0.029627216820802292,-0.8505218435213947,-0.8278188875625695
9474,7,76.6,22,22,0.09586666666666667,Low,24.3,28.8,0.56633,4.5,0.3,1,1.1258979578391801,-0.4506772768399086,0.04848580580644525,0.015626612806624113
3812,7,80.76,22,22,0.09586666666666667,Low,15.9,19.7,0.71433,3.8,0.3,2,1.1258979578391801,-0.4506772768399086,-0.04833040258270677,0.16526511396897012
3811,7,84.3,22,22,0.09586666666666667,Low,20.8,23.8,0.44911,3,0.3,3,1.1258979578391801,-0.4506772768399086,-0.15897749788459475,-0.1028911243977691
9190,7,77.73,22,22,0.09586666666666667,Low,15.1,18,0.58559,2.9,0.3,4,1.1258979578391801,-0.4506772768399086,-0.17280838479733077,0.035099839376805136
9363,7,78.61,22,22,0.09586666666666667,Low,28.1,29.5,0.16207,1.4,0.3,5,1.1258979578391801,-0.4506772768399086,-0.38027168848837073,-0.39310893097641636
9513,7,83.03,22,22,0.09586666666666667,Low,22.4,23.4,0.14558,1,0.3,6,1.1258979578391801,-0.4506772768399086,-0.4355952361393147,-0.40978149100457234
9411,7,92.14,22,22,0.09586666666666667,Low,26.9,26.4,-0.06254,-0.5,0.3,7,1.1258979578391801,-0.4506772768399086,-0.6430585398303548,-0.6202055779093524
9597,7,117.12,22,22,0.09586666666666667,Low,13.9,11.9,-0.51783,-2,0.3,8,1.1258979578391801,-0.4506772768399086,-0.8505218435213947,-1.0805360724647883
9516,7,101.56,22,22,0.09586666666666667,Low,18.7,16.1,-0.49901,-2.6,0.3,9,1.1258979578391801,-0.4506772768399086,-0.9335071649978106,-1.061507717114279
