unidade_experimental,formalin,remocao_semanal,ovos_iniciais,ovos_eclodidos,mortalidade_total,sobrevivencia_eclosao_pct
A4,com,com,302,1,301,0.331126
A5,com,com,189,23,166,12.169312
B4,com,com,291,0,291,0.000000
C4,com,com,333,0,333,0.000000
C5,com,com,276,7,269,2.536232
D3,com,com,375,5,370,1.333333
D4,com,com,266,1,265,0.375940
E3,com,com,321,18,303,5.607477
E4,com,com,309,33,276,10.679612
F3,com,com,304,9,295,2.960526
F4,com,com,303,35,268,11.551155
F5,com,com,264,12,252,4.545455
A1,com,sem,274,2,272,0.729927
A2,com,sem,267,0,267,0.000000
B2,com,sem,292,8,284,2.739726
B3,com,sem,296,4,292,1.351351
C1,com,sem,393,0,393,0.000000
E1,com,sem,276,0,276,0.000000
E2,com,sem,252,4,248,1.587302
F1,com,sem,373,0,373,0.000000
B5,sem,com,253,9,244,3.557312
D5,sem,com,284,15,269,5.281690
E5,sem,com,295,14,281,4.745763
A3,sem,sem,300,1,299,0.333333
B1,sem,sem,300,0,300,0.000000
C2,sem,sem,302,1,301,0.331126
C3,sem,sem,298,1,297,0.335570
D1,sem,sem,317,0,317,0.000000
D2,sem,sem,222,0,222,0.000000
F2,sem,sem,256,0,256,0.000000
